,Sample,SampleName,LOC_OS03G51080,Tissue,Treatment
4,DRX000459,Phosphate starvation_1day_Root,121.1,root,P- 1day
5,DRX000460,Phosphate starvation_5days_Root,107.9,root,P- 5days
6,DRX000461,Phosphate starvation_0day_Shoot,39.5,shoot,P- 0day
7,DRX000462,Phosphate starvation_1day_Shoot,37.2,shoot,P- 1day
8,DRX000463,Phosphate starvation_5days_Shoot,39.3,shoot,P- 5days
9,DRX000464,Phosphate starvation_0day_Root,124.2,root,P- 0day
10,DRX000465,Phosphate sufficient_1day_Root,120.8,root,P+ 1day
11,DRX000466,Phosphate sufficient_5days_Root,145.9,root,P+ 5days
12,DRX000467,Phosphate sufficient_1day_Shoot,46.7,shoot,P+ 1day
13,DRX000468,Phosphate sufficient_5days_Shoot,66.6,shoot,P+ 5days
14,DRX000469,Phosphate starvation_10days_Root,134.5,root,P- 10days
15,DRX000470,Phosphate sufficient_10days_Root,123.8,root,P+ 10days
16,DRX000471,Phosphate starvation_10days_Shoot,38.2,shoot,P- 10days
17,DRX000472,Phosphate sufficient_10days_Shoot,72.3,shoot,P+ 10days
18,DRX000473,Phosphate starvation_10days_Recover_1day_Root,142.2,root,"P- 10days, Recover_1day"
19,DRX000474,Phosphate sufficient_10days_Recover_1day_Root,131.1,root,"P+ 10days, Recover_1day"
35,DRX000958,W1943_WholePlant,68.3,whole plant,45 °C for 10 days
36,DRX000959,W0106_WholePlant,116.5,whole plant,45 C for 10 days
50,DRX001420,Nipponbare,72.0,leaf,blast fungus infected 24hrs
51,DRX002019,Nipponbare_root_0day,117.0,root,control
52,DRX002020,Nipponbare_root_0day,116.2,root,control
53,DRX002021,Nipponbare_root_0day,117.4,root,control
54,DRX002022,Nipponbare_root_0day,109.3,root,control
55,DRX002023,Nipponbare_root_22day,109.1,root,Pi- 22day
56,DRX002024,Nipponbare_root_22day,98.5,root,Pi- 22day
57,DRX002025,Nipponbare_root_22day,104.0,root,Pi- 22day
58,DRX002026,Nipponbare_root_22day,107.4,root,Pi- 22day
59,DRX002027,Nipponbare_shoot_0day,52.2,shoot,control
60,DRX002028,Nipponbare_shoot_0day,53.3,shoot,control
61,DRX002029,Nipponbare_shoot_0day,32.8,shoot,control
62,DRX002030,Nipponbare_shoot_22day,46.6,shoot,Pi- 22day
63,DRX002031,Nipponbare_shoot_22day,47.2,shoot,Pi- 22day
64,DRX002032,Nipponbare_shoot_22day,40.5,shoot,Pi- 22day
65,DRX002033,IAC 25_root_0day,140.3,root,control
66,DRX002034,IAC 25_root_0day,133.6,root,control
67,DRX002035,IAC 25_root_0day,135.0,root,control
68,DRX002036,IAC 25_root_0day,133.2,root,control
69,DRX002037,IAC 25_root_22day,126.3,root,Pi- 22day
70,DRX002038,IAC 25_root_22day,120.7,root,Pi- 22day
71,DRX002039,IAC 25_root_22day,115.8,root,Pi- 22day
72,DRX002040,IAC 25_root_22day,126.8,root,Pi- 22day
73,DRX002041,IAC 25_shoot_0day,64.4,shoot,control
74,DRX002042,IAC 25_shoot_0day,63.2,shoot,control
75,DRX002043,IAC 25_shoot_0day,56.5,shoot,control
76,DRX002044,IAC 25_shoot_22day,53.5,shoot,Pi- 22day
77,DRX002045,IAC 25_shoot_22day,47.2,shoot,Pi- 22day
78,DRX002046,IAC 25_shoot_22day,48.4,shoot,Pi- 22day
79,DRX002047,Vary Lava 701_root_0day,139.6,root,control
80,DRX002048,Vary Lava 701_root_0day,137.5,root,control
81,DRX002049,Vary Lava 701_root_0day,122.5,root,control
82,DRX002050,Vary Lava 701_root_0day,125.7,root,control
83,DRX002051,Vary Lava 701_root_22day,134.6,root,Pi- 22day
84,DRX002052,Vary Lava 701_root_22day,135.1,root,Pi- 22day
85,DRX002053,Vary Lava 701_root_22day,128.7,root,Pi- 22day
86,DRX002054,Vary Lava 701_root_22day,123.2,root,Pi- 22day
87,DRX002055,Vary Lava 701_shoot_0day,74.8,shoot,control
88,DRX002056,Vary Lava 701_shoot_0day,87.2,shoot,control
89,DRX002057,Vary Lava 701_shoot_0day,60.8,shoot,control
90,DRX002058,Vary Lava 701_shoot_22day,49.4,shoot,Pi- 22day
91,DRX002059,Vary Lava 701_shoot_22day,48.1,shoot,Pi- 22day
92,DRX002060,Vary Lava 701_shoot_22day,52.8,shoot,Pi- 22day
93,DRX002061,Kasalath_root_0day,92.3,root,control
94,DRX002062,Kasalath_root_0day,86.8,root,control
95,DRX002063,Kasalath_root_0day,74.3,root,control
96,DRX002064,Kasalath_root_22day,93.3,root,Pi- 22day
97,DRX002065,Kasalath_root_22day,68.5,root,Pi- 22day
98,DRX002066,Kasalath_root_22day,75.8,root,Pi- 22day
99,DRX002067,Kasalath_root_22day,78.9,root,Pi- 22day
100,DRX002068,Kasalath_shoot_0day,48.3,shoot,control
101,DRX002069,Kasalath_shoot_0day,28.2,shoot,control
102,DRX002070,Kasalath_shoot_0day,44.8,shoot,control
103,DRX002071,Kasalath_shoot_0day,47.9,shoot,control
104,DRX002072,Kasalath_shoot_22day,57.0,shoot,Pi- 22day
105,DRX002073,Kasalath_shoot_22day,48.9,shoot,Pi- 22day
106,DRX002074,Kasalath_shoot_22day,71.3,shoot,Pi- 22day
107,DRX002075,Kasalath_shoot_22day,68.5,shoot,Pi- 22day
114,DRX005735,shoot control sample for Low and VeryLow Cadmium stress,26.1,shoot,control
115,DRX005736,shoot control sample for Low and VeryLow Cadmium stress,19.2,shoot,control
116,DRX005737,shoot control sample for Low and VeryLow Cadmium stress,34.5,shoot,control
117,DRX005738,shoot under 1 day after Low Cadmium stress,35.0,shoot,low cadmium 1day
118,DRX005739,shoot under 1 day after Low Cadmium stress,37.7,shoot,low cadmium 1day
119,DRX005740,shoot under 4 days after Low Cadmium stress,33.4,shoot,low cadmium 4day
120,DRX005741,shoot under 4 days after Low Cadmium stress,27.1,shoot,low cadmium 4day
121,DRX005742,shoot under 10 days after Low Cadmium stress,35.5,shoot,low cadmium 10day
122,DRX005743,shoot under 10 days after Low Cadmium stress,39.1,shoot,low cadmium 10day
123,DRX005744,shoot under 1 day after VeryLow Cadmium stress,27.6,shoot,verylow cadmium 1day
124,DRX005745,shoot under 1 day after VeryLow Cadmium stress,23.3,shoot,verylow cadmium 1day
125,DRX005746,shoot under 4 days after VeryLow Cadmium stress,31.2,shoot,verylow cadmium 4day
126,DRX005747,shoot under 4 days after VeryLow Cadmium stress,37.9,shoot,verylow cadmium 4day
127,DRX005748,shoot under 10 days after VeryLow Cadmium stress,31.2,shoot,verylow cadmium 10day
128,DRX005749,shoot under 10 days after VeryLow Cadmium stress,34.8,shoot,verylow cadmium 10day
129,DRX005750,root control sample for Low and VeryLow Cadmium stress,78.7,root,control
130,DRX005751,root control sample for Low and VeryLow Cadmium stress,68.4,root,control
131,DRX005752,root control sample for Low and VeryLow Cadmium stress,78.8,root,control
132,DRX005753,root under 1 day after Low Cadmium stress,103.4,root,low cadmium 1day
133,DRX005754,root under 1 day after Low Cadmium stress,89.8,root,low cadmium 1day
134,DRX005755,root under 4 days after Low Cadmium stress,117.6,root,low cadmium 4day
135,DRX005756,root under 4 days after Low Cadmium stress,86.8,root,low cadmium 4day
136,DRX005757,root under 10 days after Low Cadmium stress,123.9,root,low cadmium 10day
137,DRX005758,root under 10 days after Low Cadmium stress,89.1,root,low cadmium 10day
138,DRX005759,root under 1 day after VeryLow Cadmium stress,104.5,root,verylow cadmium 1day
139,DRX005760,root under 1 day after VeryLow Cadmium stress,79.1,root,verylow cadmium 1day
140,DRX005761,root under 4 days after VeryLow Cadmium stress,163.8,root,verylow cadmium 4day
141,DRX005762,root under 4 days after VeryLow Cadmium stress,109.3,root,verylow cadmium 4day
142,DRX005763,root under 10 days after VeryLow Cadmium stress,113.7,root,verylow cadmium 10day
143,DRX005764,root under 10 days after VeryLow Cadmium stress,97.5,root,verylow cadmium 10day
144,DRX005765,shoot control sample for Cold and Flood and Osmotic stress,30.6,shoot,control
145,DRX005766,shoot control sample for Cold and Flood and Osmotic stress,22.4,shoot,control
146,DRX005767,shoot control sample for Cold and Flood and Osmotic stress,24.4,shoot,control
147,DRX005768,root control sample for Cold and Flood and Osmotic stress,91.3,root,control
148,DRX005769,root control sample for Cold and Flood and Osmotic stress,106.1,root,control
149,DRX005770,root control sample for Cold and Flood and Osmotic stress,86.5,root,control
150,DRX005771,shoot under 1 hour after Cold stress,34.3,shoot,Cold 1h
