,Sample,SampleName,LOC_OS04G56400,Tissue,Treatment
0,DRX000191,root under normal condition,58.0,root,--
1,DRX000192,root 1hr after salinity stress,53.1,root,--
2,DRX000193,shoot under normal condition,153.7,shoot,--
3,DRX000194,shoot 1hr after salinity stress,163.3,shoot,--
4,DRX000459,Phosphate starvation_1day_Root,149.7,root,P- 1day
5,DRX000460,Phosphate starvation_5days_Root,121.6,root,P- 5days
6,DRX000461,Phosphate starvation_0day_Shoot,499.3,shoot,P- 0day
7,DRX000462,Phosphate starvation_1day_Shoot,511.2,shoot,P- 1day
8,DRX000463,Phosphate starvation_5days_Shoot,472.5,shoot,P- 5days
9,DRX000464,Phosphate starvation_0day_Root,140.9,root,P- 0day
10,DRX000465,Phosphate sufficient_1day_Root,144.7,root,P+ 1day
11,DRX000466,Phosphate sufficient_5days_Root,148.4,root,P+ 5days
12,DRX000467,Phosphate sufficient_1day_Shoot,517.1,shoot,P+ 1day
13,DRX000468,Phosphate sufficient_5days_Shoot,397.4,shoot,P+ 5days
14,DRX000469,Phosphate starvation_10days_Root,142.1,root,P- 10days
15,DRX000470,Phosphate sufficient_10days_Root,174.0,root,P+ 10days
16,DRX000471,Phosphate starvation_10days_Shoot,487.2,shoot,P- 10days
17,DRX000472,Phosphate sufficient_10days_Shoot,346.8,shoot,P+ 10days
18,DRX000473,Phosphate starvation_10days_Recover_1day_Root,165.5,root,"P- 10days, Recover_1day"
19,DRX000474,Phosphate sufficient_10days_Recover_1day_Root,135.1,root,"P+ 10days, Recover_1day"
20,DRX000523,Nipponbare shoot apices,27.6,shoot apices,--
21,DRX000660,retrogene_callus,9.4,callus,--
22,DRX000661,retrogene_callus,1.3,callus,--
23,DRX000662,retrogene_leaf,304.4,leaf,--
24,DRX000663,retrogene_leaf,604.9,leaf,--
25,DRX000664,retrogene_panicle before flowering,123.8,panicle,--
26,DRX000665,retrogene_panicle before flowering,176.6,panicle,--
27,DRX000666,retrogene_panicle after flowering,104.0,panicle,--
28,DRX000667,retrogene_panicle after flowering,143.1,panicle,--
29,DRX000668,retrogene_root,30.2,root,--
30,DRX000669,retrogene_root,14.9,root,--
31,DRX000670,retrogene_seed,20.4,seed,--
32,DRX000671,retrogene_seed,14.1,seed,--
33,DRX000672,retrogene_shoot,217.4,shoot,--
34,DRX000673,retrogene_shoot,512.5,shoot,--
35,DRX000958,W1943_WholePlant,150.7,whole plant,45 °C for 10 days
36,DRX000959,W0106_WholePlant,56.0,whole plant,45 C for 10 days
37,DRX000967,Oryza rufipogon W1921,13.0,shoot apices,--
38,DRX000968,Oryza sativa cv. Kasalath,18.4,shoot apices,--
39,DRX000969,F1 hybrid (Oryza sativa cv. NipponbarexOryza sativa cv. Kasalath),30.6,shoot apices,--
40,DRX000970,Oryza rufipogon W0106,6.3,shoot apices,--
41,DRX000971,F1 hybrid (Oryza sativa cv. KasalathxOryza sativa cv. Nipponbare),22.9,shoot apices,--
42,DRX001002,F1 hybrid NipponbarexW0106,22.3,shoot apices,--
43,DRX001003,F1 hybrid W0106xNipponbare,10.1,shoot apices,--
44,DRX001004,F1 hybrid NipponbarexW1921,17.1,shoot apices,--
45,DRX001005,F1 hybrid W1921xNipponbare,11.0,shoot apices,--
46,DRX001075,Oryza Sativa Nipponbare Stigma,26.8,stigma,--
47,DRX001076,Oryza sativa Nipponbare Pistil,43.8,pistil,--
48,DRX001077,Oryza officinalis Stigma,6.4,stigma,--
49,DRX001078,Oryza officinalis Pistil,97.9,pistil,--
50,DRX001420,Nipponbare,407.3,leaf,blast fungus infected 24hrs
51,DRX002019,Nipponbare_root_0day,104.7,root,control
52,DRX002020,Nipponbare_root_0day,79.4,root,control
53,DRX002021,Nipponbare_root_0day,72.4,root,control
54,DRX002022,Nipponbare_root_0day,97.5,root,control
55,DRX002023,Nipponbare_root_22day,49.3,root,Pi- 22day
56,DRX002024,Nipponbare_root_22day,44.3,root,Pi- 22day
57,DRX002025,Nipponbare_root_22day,45.0,root,Pi- 22day
58,DRX002026,Nipponbare_root_22day,46.4,root,Pi- 22day
59,DRX002027,Nipponbare_shoot_0day,319.4,shoot,control
60,DRX002028,Nipponbare_shoot_0day,277.5,shoot,control
61,DRX002029,Nipponbare_shoot_0day,379.9,shoot,control
62,DRX002030,Nipponbare_shoot_22day,241.5,shoot,Pi- 22day
63,DRX002031,Nipponbare_shoot_22day,212.4,shoot,Pi- 22day
64,DRX002032,Nipponbare_shoot_22day,249.5,shoot,Pi- 22day
65,DRX002033,IAC 25_root_0day,94.3,root,control
66,DRX002034,IAC 25_root_0day,81.6,root,control
67,DRX002035,IAC 25_root_0day,87.2,root,control
68,DRX002036,IAC 25_root_0day,92.8,root,control
69,DRX002037,IAC 25_root_22day,54.5,root,Pi- 22day
70,DRX002038,IAC 25_root_22day,43.1,root,Pi- 22day
71,DRX002039,IAC 25_root_22day,49.8,root,Pi- 22day
72,DRX002040,IAC 25_root_22day,50.3,root,Pi- 22day
73,DRX002041,IAC 25_shoot_0day,318.8,shoot,control
74,DRX002042,IAC 25_shoot_0day,316.1,shoot,control
75,DRX002043,IAC 25_shoot_0day,418.3,shoot,control
76,DRX002044,IAC 25_shoot_22day,206.4,shoot,Pi- 22day
77,DRX002045,IAC 25_shoot_22day,231.3,shoot,Pi- 22day
78,DRX002046,IAC 25_shoot_22day,238.6,shoot,Pi- 22day
79,DRX002047,Vary Lava 701_root_0day,75.9,root,control
80,DRX002048,Vary Lava 701_root_0day,61.9,root,control
81,DRX002049,Vary Lava 701_root_0day,86.4,root,control
82,DRX002050,Vary Lava 701_root_0day,76.3,root,control
83,DRX002051,Vary Lava 701_root_22day,39.6,root,Pi- 22day
84,DRX002052,Vary Lava 701_root_22day,36.2,root,Pi- 22day
85,DRX002053,Vary Lava 701_root_22day,39.8,root,Pi- 22day
86,DRX002054,Vary Lava 701_root_22day,40.6,root,Pi- 22day
87,DRX002055,Vary Lava 701_shoot_0day,320.7,shoot,control
88,DRX002056,Vary Lava 701_shoot_0day,312.8,shoot,control
89,DRX002057,Vary Lava 701_shoot_0day,294.5,shoot,control
90,DRX002058,Vary Lava 701_shoot_22day,282.3,shoot,Pi- 22day
91,DRX002059,Vary Lava 701_shoot_22day,252.3,shoot,Pi- 22day
92,DRX002060,Vary Lava 701_shoot_22day,259.2,shoot,Pi- 22day
93,DRX002061,Kasalath_root_0day,141.6,root,control
94,DRX002062,Kasalath_root_0day,140.2,root,control
95,DRX002063,Kasalath_root_0day,98.2,root,control
96,DRX002064,Kasalath_root_22day,40.0,root,Pi- 22day
97,DRX002065,Kasalath_root_22day,34.9,root,Pi- 22day
98,DRX002066,Kasalath_root_22day,42.3,root,Pi- 22day
99,DRX002067,Kasalath_root_22day,36.7,root,Pi- 22day
100,DRX002068,Kasalath_shoot_0day,313.2,shoot,control
101,DRX002069,Kasalath_shoot_0day,453.4,shoot,control
102,DRX002070,Kasalath_shoot_0day,566.8,shoot,control
103,DRX002071,Kasalath_shoot_0day,595.9,shoot,control
104,DRX002072,Kasalath_shoot_22day,227.1,shoot,Pi- 22day
105,DRX002073,Kasalath_shoot_22day,233.3,shoot,Pi- 22day
106,DRX002074,Kasalath_shoot_22day,260.6,shoot,Pi- 22day
107,DRX002075,Kasalath_shoot_22day,258.2,shoot,Pi- 22day
108,DRX003191,OSCR11_Transcriptome_DevelopingSeeds_1,20.8,seed,--
109,DRX003192,OSCR11_Transcriptome_DevelopingSeeds_2,25.1,seed,--
110,DRX003193,OSCR11_Transcriptome_DevelopingSeeds_3,14.8,seed,--
111,DRX003194,a123_Transcriptome_DevelopingSeeds_1,24.0,seed,--
112,DRX003195,a123_Transcriptome_DevelopingSeeds_2,27.0,seed,--
113,DRX003196,a123_Transcriptome_DevelopingSeeds_3,9.2,seed,--
114,DRX005735,shoot control sample for Low and VeryLow Cadmium stress,455.3,shoot,control
115,DRX005736,shoot control sample for Low and VeryLow Cadmium stress,414.0,shoot,control
116,DRX005737,shoot control sample for Low and VeryLow Cadmium stress,202.2,shoot,control
117,DRX005738,shoot under 1 day after Low Cadmium stress,383.5,shoot,low cadmium 1day
118,DRX005739,shoot under 1 day after Low Cadmium stress,256.0,shoot,low cadmium 1day
119,DRX005740,shoot under 4 days after Low Cadmium stress,368.4,shoot,low cadmium 4day
120,DRX005741,shoot under 4 days after Low Cadmium stress,258.7,shoot,low cadmium 4day
121,DRX005742,shoot under 10 days after Low Cadmium stress,466.7,shoot,low cadmium 10day
122,DRX005743,shoot under 10 days after Low Cadmium stress,215.4,shoot,low cadmium 10day
123,DRX005744,shoot under 1 day after VeryLow Cadmium stress,331.3,shoot,verylow cadmium 1day
124,DRX005745,shoot under 1 day after VeryLow Cadmium stress,327.2,shoot,verylow cadmium 1day
