,Sample,SampleName,LOC_OS07G46990,Tissue,Treatment
0,DRX000191,root under normal condition,112.4,root,--
1,DRX000192,root 1hr after salinity stress,96.8,root,--
2,DRX000193,shoot under normal condition,103.6,shoot,--
3,DRX000194,shoot 1hr after salinity stress,101.2,shoot,--
4,DRX000459,Phosphate starvation_1day_Root,254.6,root,P- 1day
5,DRX000460,Phosphate starvation_5days_Root,158.3,root,P- 5days
6,DRX000461,Phosphate starvation_0day_Shoot,133.4,shoot,P- 0day
7,DRX000462,Phosphate starvation_1day_Shoot,136.3,shoot,P- 1day
8,DRX000463,Phosphate starvation_5days_Shoot,103.3,shoot,P- 5days
9,DRX000464,Phosphate starvation_0day_Root,202.2,root,P- 0day
10,DRX000465,Phosphate sufficient_1day_Root,193.4,root,P+ 1day
11,DRX000466,Phosphate sufficient_5days_Root,239.1,root,P+ 5days
12,DRX000467,Phosphate sufficient_1day_Shoot,169.2,shoot,P+ 1day
13,DRX000468,Phosphate sufficient_5days_Shoot,152.7,shoot,P+ 5days
14,DRX000469,Phosphate starvation_10days_Root,213.7,root,P- 10days
15,DRX000470,Phosphate sufficient_10days_Root,233.0,root,P+ 10days
16,DRX000471,Phosphate starvation_10days_Shoot,105.5,shoot,P- 10days
17,DRX000472,Phosphate sufficient_10days_Shoot,161.9,shoot,P+ 10days
18,DRX000473,Phosphate starvation_10days_Recover_1day_Root,201.0,root,"P- 10days, Recover_1day"
19,DRX000474,Phosphate sufficient_10days_Recover_1day_Root,214.9,root,"P+ 10days, Recover_1day"
20,DRX000523,Nipponbare shoot apices,71.6,shoot apices,--
21,DRX000660,retrogene_callus,83.4,callus,--
22,DRX000661,retrogene_callus,94.6,callus,--
23,DRX000662,retrogene_leaf,78.9,leaf,--
24,DRX000663,retrogene_leaf,86.5,leaf,--
25,DRX000664,retrogene_panicle before flowering,118.1,panicle,--
26,DRX000665,retrogene_panicle before flowering,148.7,panicle,--
27,DRX000666,retrogene_panicle after flowering,117.0,panicle,--
28,DRX000667,retrogene_panicle after flowering,158.2,panicle,--
29,DRX000668,retrogene_root,141.0,root,--
30,DRX000669,retrogene_root,179.2,root,--
31,DRX000670,retrogene_seed,142.5,seed,--
32,DRX000671,retrogene_seed,175.8,seed,--
33,DRX000672,retrogene_shoot,131.8,shoot,--
34,DRX000673,retrogene_shoot,181.9,shoot,--
35,DRX000958,W1943_WholePlant,120.4,whole plant,45 °C for 10 days
36,DRX000959,W0106_WholePlant,34.6,whole plant,45 C for 10 days
37,DRX000967,Oryza rufipogon W1921,102.4,shoot apices,--
38,DRX000968,Oryza sativa cv. Kasalath,113.2,shoot apices,--
39,DRX000969,F1 hybrid (Oryza sativa cv. NipponbarexOryza sativa cv. Kasalath),67.0,shoot apices,--
40,DRX000970,Oryza rufipogon W0106,82.0,shoot apices,--
41,DRX000971,F1 hybrid (Oryza sativa cv. KasalathxOryza sativa cv. Nipponbare),71.8,shoot apices,--
42,DRX001002,F1 hybrid NipponbarexW0106,70.0,shoot apices,--
43,DRX001003,F1 hybrid W0106xNipponbare,109.3,shoot apices,--
44,DRX001004,F1 hybrid NipponbarexW1921,107.7,shoot apices,--
45,DRX001005,F1 hybrid W1921xNipponbare,128.5,shoot apices,--
46,DRX001075,Oryza Sativa Nipponbare Stigma,113.1,stigma,--
47,DRX001076,Oryza sativa Nipponbare Pistil,78.8,pistil,--
48,DRX001077,Oryza officinalis Stigma,105.8,stigma,--
49,DRX001078,Oryza officinalis Pistil,96.6,pistil,--
50,DRX001420,Nipponbare,103.6,leaf,blast fungus infected 24hrs
51,DRX002019,Nipponbare_root_0day,167.7,root,control
52,DRX002020,Nipponbare_root_0day,143.1,root,control
53,DRX002021,Nipponbare_root_0day,163.8,root,control
54,DRX002022,Nipponbare_root_0day,176.5,root,control
55,DRX002023,Nipponbare_root_22day,193.1,root,Pi- 22day
56,DRX002024,Nipponbare_root_22day,176.5,root,Pi- 22day
57,DRX002025,Nipponbare_root_22day,166.7,root,Pi- 22day
58,DRX002026,Nipponbare_root_22day,198.7,root,Pi- 22day
59,DRX002027,Nipponbare_shoot_0day,103.6,shoot,control
60,DRX002028,Nipponbare_shoot_0day,90.8,shoot,control
61,DRX002029,Nipponbare_shoot_0day,108.1,shoot,control
62,DRX002030,Nipponbare_shoot_22day,119.1,shoot,Pi- 22day
63,DRX002031,Nipponbare_shoot_22day,119.8,shoot,Pi- 22day
64,DRX002032,Nipponbare_shoot_22day,110.2,shoot,Pi- 22day
65,DRX002033,IAC 25_root_0day,168.0,root,control
66,DRX002034,IAC 25_root_0day,157.7,root,control
67,DRX002035,IAC 25_root_0day,140.2,root,control
68,DRX002036,IAC 25_root_0day,168.2,root,control
69,DRX002037,IAC 25_root_22day,197.3,root,Pi- 22day
70,DRX002038,IAC 25_root_22day,175.9,root,Pi- 22day
71,DRX002039,IAC 25_root_22day,208.7,root,Pi- 22day
72,DRX002040,IAC 25_root_22day,198.4,root,Pi- 22day
73,DRX002041,IAC 25_shoot_0day,98.2,shoot,control
74,DRX002042,IAC 25_shoot_0day,103.7,shoot,control
75,DRX002043,IAC 25_shoot_0day,128.5,shoot,control
76,DRX002044,IAC 25_shoot_22day,134.8,shoot,Pi- 22day
77,DRX002045,IAC 25_shoot_22day,145.7,shoot,Pi- 22day
78,DRX002046,IAC 25_shoot_22day,130.0,shoot,Pi- 22day
79,DRX002047,Vary Lava 701_root_0day,151.8,root,control
80,DRX002048,Vary Lava 701_root_0day,142.2,root,control
81,DRX002049,Vary Lava 701_root_0day,130.6,root,control
82,DRX002050,Vary Lava 701_root_0day,146.4,root,control
83,DRX002051,Vary Lava 701_root_22day,176.7,root,Pi- 22day
84,DRX002052,Vary Lava 701_root_22day,186.2,root,Pi- 22day
85,DRX002053,Vary Lava 701_root_22day,166.8,root,Pi- 22day
86,DRX002054,Vary Lava 701_root_22day,199.1,root,Pi- 22day
87,DRX002055,Vary Lava 701_shoot_0day,95.0,shoot,control
88,DRX002056,Vary Lava 701_shoot_0day,104.0,shoot,control
89,DRX002057,Vary Lava 701_shoot_0day,118.4,shoot,control
90,DRX002058,Vary Lava 701_shoot_22day,111.8,shoot,Pi- 22day
91,DRX002059,Vary Lava 701_shoot_22day,114.3,shoot,Pi- 22day
92,DRX002060,Vary Lava 701_shoot_22day,124.4,shoot,Pi- 22day
93,DRX002061,Kasalath_root_0day,204.7,root,control
94,DRX002062,Kasalath_root_0day,203.1,root,control
95,DRX002063,Kasalath_root_0day,203.9,root,control
96,DRX002064,Kasalath_root_22day,393.9,root,Pi- 22day
97,DRX002065,Kasalath_root_22day,245.2,root,Pi- 22day
98,DRX002066,Kasalath_root_22day,415.8,root,Pi- 22day
99,DRX002067,Kasalath_root_22day,357.3,root,Pi- 22day
100,DRX002068,Kasalath_shoot_0day,99.1,shoot,control
101,DRX002069,Kasalath_shoot_0day,110.6,shoot,control
102,DRX002070,Kasalath_shoot_0day,121.1,shoot,control
103,DRX002071,Kasalath_shoot_0day,118.5,shoot,control
104,DRX002072,Kasalath_shoot_22day,187.6,shoot,Pi- 22day
105,DRX002073,Kasalath_shoot_22day,181.6,shoot,Pi- 22day
106,DRX002074,Kasalath_shoot_22day,214.6,shoot,Pi- 22day
107,DRX002075,Kasalath_shoot_22day,214.4,shoot,Pi- 22day
108,DRX003191,OSCR11_Transcriptome_DevelopingSeeds_1,469.3,seed,--
109,DRX003192,OSCR11_Transcriptome_DevelopingSeeds_2,455.0,seed,--
110,DRX003193,OSCR11_Transcriptome_DevelopingSeeds_3,531.8,seed,--
111,DRX003194,a123_Transcriptome_DevelopingSeeds_1,358.9,seed,--
112,DRX003195,a123_Transcriptome_DevelopingSeeds_2,536.0,seed,--
113,DRX003196,a123_Transcriptome_DevelopingSeeds_3,431.0,seed,--
114,DRX005735,shoot control sample for Low and VeryLow Cadmium stress,150.4,shoot,control
115,DRX005736,shoot control sample for Low and VeryLow Cadmium stress,127.5,shoot,control
116,DRX005737,shoot control sample for Low and VeryLow Cadmium stress,104.6,shoot,control
117,DRX005738,shoot under 1 day after Low Cadmium stress,168.6,shoot,low cadmium 1day
118,DRX005739,shoot under 1 day after Low Cadmium stress,143.1,shoot,low cadmium 1day
119,DRX005740,shoot under 4 days after Low Cadmium stress,145.2,shoot,low cadmium 4day
120,DRX005741,shoot under 4 days after Low Cadmium stress,128.9,shoot,low cadmium 4day
121,DRX005742,shoot under 10 days after Low Cadmium stress,136.7,shoot,low cadmium 10day
122,DRX005743,shoot under 10 days after Low Cadmium stress,111.1,shoot,low cadmium 10day
123,DRX005744,shoot under 1 day after VeryLow Cadmium stress,133.8,shoot,verylow cadmium 1day
124,DRX005745,shoot under 1 day after VeryLow Cadmium stress,139.1,shoot,verylow cadmium 1day
